pos	val_A	val_C	val_G	val_T
0	0.00	0.94	1.04	0.30	
1	0.00	1.81	1.03	0.65	
2	0.00	1.47	1.15	0.14	
3	0.30	1.75	2.13	0.00	
4	0.07	0.73	0.41	0.00	
5	2.57	1.16	3.12	0.00	
6	2.98	4.41	0.00	2.48	
7	1.71	2.21	2.53	0.00	
8	4.53	4.56	0.00	3.03	
9	0.00	1.63	3.03	2.89	
10	1.54	0.00	0.83	0.37	
11	1.18	0.00	0.64	1.29	
12	0.65	0.32	0.69	0.00	
13	0.00	0.70	0.29	0.45	
14	0.66	0.23	0.00	0.46	
15	0.00	1.27	1.03	1.57	
16	3.01	2.88	1.56	0.00	
17	2.79	0.00	4.51	3.83	
18	0.00	2.70	2.37	1.62	
19	1.33	0.00	3.99	2.31	
20	0.00	3.65	1.59	3.35	
21	0.00	1.27	0.65	0.40	
22	1.20	1.88	2.61	0.00	
23	0.01	0.85	1.45	0.00	
24	1.43	0.70	1.97	0.00	
25	1.27	1.09	0.97	0.00	
